id,type,name,url
amnhc_2000059,Expedition,"Expedition to the Desert of Fayoum, Egypt",http://data.library.amnh.org/archives-authorities/id/amnhc_2000059
amnhc_2000060,Expedition,Vertebrate Palaeontology Expedition,http://data.library.amnh.org/archives-authorities/id/amnhc_2000060
amnhc_2000061,Expedition,Vertebrate Palaeontology Expedition,http://data.library.amnh.org/archives-authorities/id/amnhc_2000061
amnhc_2000062,Expedition,Chapman-Fuertes trip to Canada,http://data.library.amnh.org/archives-authorities/id/amnhc_2000062
amnhc_2000063,Expedition,Alaskan Mammoth Expedition (1907-1908),http://data.library.amnh.org/archives-authorities/id/amnhc_2000063
amnhc_2000064,Expedition,Andrews Alaskan Expedition (1908),http://data.library.amnh.org/archives-authorities/id/amnhc_2000064
amnhc_2000065,Expedition,Expedition to Texas,http://data.library.amnh.org/archives-authorities/id/amnhc_2000065
amnhc_2000066,Expedition,Korean Expedition,http://data.library.amnh.org/archives-authorities/id/amnhc_2000066
amnhc_2000067,Expedition,Lesser Antilles Expedition,http://data.library.amnh.org/archives-authorities/id/amnhc_2000067
amnhc_2000068,Expedition,New Zealand Expedition,http://data.library.amnh.org/archives-authorities/id/amnhc_2000068
amnhc_2000069,Expedition,Philippine Expedition,http://data.library.amnh.org/archives-authorities/id/amnhc_2000069
amnhc_2000070,Expedition,Tahiti Expedition,http://data.library.amnh.org/archives-authorities/id/amnhc_2000070
amnhc_2000071,Expedition,Wyoming Expedition,http://data.library.amnh.org/archives-authorities/id/amnhc_2000071
amnhc_2000072,Expedition,Expedition to Nicaragua,http://data.library.amnh.org/archives-authorities/id/amnhc_2000072
amnhc_2000073,Expedition,Hudson Bay Expedition,http://data.library.amnh.org/archives-authorities/id/amnhc_2000073
amnhc_2000074,Expedition,Stefansson-Anderson Arctic Expedition of the American Museum of Natural History (1908-1912),http://data.library.amnh.org/archives-authorities/id/amnhc_2000074
amnhc_2000075,Expedition,Bahamas Expedition,http://data.library.amnh.org/archives-authorities/id/amnhc_2000075
amnhc_2000076,Expedition,Andrews Canadian Field Trip,http://data.library.amnh.org/archives-authorities/id/amnhc_2000076
amnhc_2000077,Expedition,Ashokan Field Trip,http://data.library.amnh.org/archives-authorities/id/amnhc_2000077
amnhc_2000078,Expedition,Long Island Expedition,http://data.library.amnh.org/archives-authorities/id/amnhc_2000078
amnhc_2000079,Expedition,North Carolina Expedition,http://data.library.amnh.org/archives-authorities/id/amnhc_2000079
amnhc_2000080,Expedition,Philippines Expedition (1909),http://data.library.amnh.org/archives-authorities/id/amnhc_2000080
amnhc_2000081,Expedition,Puget Sound Expedition,http://data.library.amnh.org/archives-authorities/id/amnhc_2000081
amnhc_2000082,Expedition,Vertebrate Palaeontology Expedition,http://data.library.amnh.org/archives-authorities/id/amnhc_2000082
amnhc_2000083,Expedition,Fabbri Tekla Expedition to Florida (1909-1910),http://data.library.amnh.org/archives-authorities/id/amnhc_2000083
amnhc_2000084,Expedition,Akeley Expedition to British East Africa (1909-1911),http://data.library.amnh.org/archives-authorities/id/amnhc_2000084
amnhc_2000085,Expedition,Carriker Venezuelan Expedition (1909-1911),http://data.library.amnh.org/archives-authorities/id/amnhc_2000085
amnhc_2000086,Expedition,American Museum Congo Expedition (1909-1915),http://data.library.amnh.org/archives-authorities/id/amnhc_2000086
http://id.loc.gov/authorities/names/n80126084,,Royal Museum for Central Africa,http://data.library.amnh.org/archives-authorities/id/http://id.loc.gov/authorities/names/n80126084
amnhp_1000300,Person,"Bumpus, Hermon C. (Hermon Carey) 1862-1943",http://data.library.amnh.org/archives-authorities/id/amnhp_1000300
amnhp_1000371,Person,"Chapin, James Paul 1889-1964",http://data.library.amnh.org/archives-authorities/id/amnhp_1000371
amnhp_1001219,Person,"Lang, Herbert 1879-1957",http://data.library.amnh.org/archives-authorities/id/amnhp_1001219
amnhp_1002505,Person,Alimasi,http://data.library.amnh.org/archives-authorities/id/amnhp_1002505
amnhp_1002506,Person,Nekuma,http://data.library.amnh.org/archives-authorities/id/amnhp_1002506
amnhp_1002507,Person,Joseph,http://data.library.amnh.org/archives-authorities/id/amnhp_1002507
amnhp_1002508,Person,Papai,http://data.library.amnh.org/archives-authorities/id/amnhp_1002508
amnhp_1002509,Person,Queen Nenzima,http://data.library.amnh.org/archives-authorities/id/amnhp_1002509
amnhp_1002510,Person,Emandinia,http://data.library.amnh.org/archives-authorities/id/amnhp_1002510
amnhp_1002511,Person,Maruka,http://data.library.amnh.org/archives-authorities/id/amnhp_1002511
amnhp_1002512,Person,Niapu,http://data.library.amnh.org/archives-authorities/id/amnhp_1002512
amnhp_1002513,Person,Saza,http://data.library.amnh.org/archives-authorities/id/amnhp_1002513
amnhp_1002514,Person,Akenge,http://data.library.amnh.org/archives-authorities/id/amnhp_1002514
amnhp_1002515,Person,Bafuka,http://data.library.amnh.org/archives-authorities/id/amnhp_1002515
amnhp_1002516,Person,Danga,http://data.library.amnh.org/archives-authorities/id/amnhp_1002516
amnhp_1002517,Person,Kalonga,http://data.library.amnh.org/archives-authorities/id/amnhp_1002517
amnhp_1002518,Person,Manziga,http://data.library.amnh.org/archives-authorities/id/amnhp_1002518
amnhp_1002519,Person,Senze,http://data.library.amnh.org/archives-authorities/id/amnhp_1002519
amnhp_1002520,Person,Massikini,http://data.library.amnh.org/archives-authorities/id/amnhp_1002520
amnhp_1002521,Person,Matari,http://data.library.amnh.org/archives-authorities/id/amnhp_1002521
amnhp_1002522,Person,Okondo,http://data.library.amnh.org/archives-authorities/id/amnhp_1002522
amnhp_1002523,Person,Kalifa,http://data.library.amnh.org/archives-authorities/id/amnhp_1002523
amnhp_1002524,Person,Banda,http://data.library.amnh.org/archives-authorities/id/amnhp_1002524
amnhp_1002525,Person,Kiparanga,http://data.library.amnh.org/archives-authorities/id/amnhp_1002525
amnhp_1002526,Person,Dongo,http://data.library.amnh.org/archives-authorities/id/amnhp_1002526
amnhp_1002527,Person,Zebuandra,http://data.library.amnh.org/archives-authorities/id/amnhp_1002527
amnhp_1001569,Person,"Osborn, Henry Fairfield, 1857-1935",http://data.library.amnh.org/archives-authorities/id/amnhp_1001569
amnhp_1002528,Person,"Bridgman, Herbert L. (Herbert Lawrence) 1844-1924",http://data.library.amnh.org/archives-authorities/id/amnhp_1002528
amnhp_1000373,Person,"Chapman, Frank M. (Frank Michler) 1864-1945",http://data.library.amnh.org/archives-authorities/id/amnhp_1000373
amnhp_1000816,Person,"Goelet, Robert G. (Robert Guestier) 1923-",http://data.library.amnh.org/archives-authorities/id/amnhp_1000816
amnhp_1002117,Person,"Trevor, John B. (John Bond) 1878-1956",http://data.library.amnh.org/archives-authorities/id/amnhp_1002117
amnhp_1001224,Person,"Lanier, Charles Day",http://data.library.amnh.org/archives-authorities/id/amnhp_1001224
amnhp_1000571,Person,"Dodge, Cleveland Hadley",http://data.library.amnh.org/archives-authorities/id/amnhp_1000571
amnhp_1001467,Person,"Morgan, J. P.",http://data.library.amnh.org/archives-authorities/id/amnhp_1001467
amnhp_1002149,Person,"Vanderbilt, William K. (William Kissam) 1878-1944",http://data.library.amnh.org/archives-authorities/id/amnhp_1002149
amnhp_1001120,Person,"Juilliard, Augustus D.",http://data.library.amnh.org/archives-authorities/id/amnhp_1001120
amnhp_1001767,Person,"Rockefeller, William",http://data.library.amnh.org/archives-authorities/id/amnhp_1001767
http://id.loc.gov/authorities/names/n79088906,,"Léopold II, King of the Belgians, 1835-1909",http://data.library.amnh.org/archives-authorities/id/http://id.loc.gov/authorities/names/n79088906
http://id.loc.gov/authorities/names/n84163716,,"Liebrechts, Charles, 1858-1938",http://data.library.amnh.org/archives-authorities/id/http://id.loc.gov/authorities/names/n84163716
http://viaf.org/viaf/70123890,,"Moncheur, Baron Ludovic",http://data.library.amnh.org/archives-authorities/id/http://viaf.org/viaf/70123890
amnhp_1002529,Person,"Mali, Pierre",http://data.library.amnh.org/archives-authorities/id/amnhp_1002529
amnhp_1002530,Person,"Whiteley, James Gustavus 1866-",http://data.library.amnh.org/archives-authorities/id/amnhp_1002530
amnhp_1002531,Person,"Meulemeester, Adolphe",http://data.library.amnh.org/archives-authorities/id/amnhp_1002531
http://viaf.org/viaf/309613120,,"Delhaise, Charles Godefroid Félix François, 1872-",http://data.library.amnh.org/archives-authorities/id/http://viaf.org/viaf/309613120
http://id.loc.gov/authorities/names/no2001078940,,"Droogmans, Hubert (1858-1938)",http://data.library.amnh.org/archives-authorities/id/http://id.loc.gov/authorities/names/no2001078940
amnhp_1002532,Person,"Erikkson, Carl",http://data.library.amnh.org/archives-authorities/id/amnhp_1002532
amnhp_1002533,Person,"Fuchs, Felix Alexandre",http://data.library.amnh.org/archives-authorities/id/amnhp_1002533
amnhp_1002534,Person,"Antoine, E.",http://data.library.amnh.org/archives-authorities/id/amnhp_1002534
amnhp_1002535,Person,"Boyton, Edouard",http://data.library.amnh.org/archives-authorities/id/amnhp_1002535
http://id.loc.gov/authorities/names/no2013129725,,"Carton de Wiart, Edmond",http://data.library.amnh.org/archives-authorities/id/http://id.loc.gov/authorities/names/no2013129725
amnhp_1002536,Person,DeBecker,http://data.library.amnh.org/archives-authorities/id/amnhp_1002536
amnhp_1002537,Person,Gilson,http://data.library.amnh.org/archives-authorities/id/amnhp_1002537
amnhp_1002538,Person,"Guyon, Ario",http://data.library.amnh.org/archives-authorities/id/amnhp_1002538
amnhp_1002539,Person,Vergruyssen,http://data.library.amnh.org/archives-authorities/id/amnhp_1002539
amnhp_1002540,Person,"Renkin, Jules",http://data.library.amnh.org/archives-authorities/id/amnhp_1002540
http://id.loc.gov/authorities/names/n91075868,,"Wilson, Henry Lane, 1857-1932",http://data.library.amnh.org/archives-authorities/id/http://id.loc.gov/authorities/names/n91075868
amnhp_1002541,Person,"Damme, Maurice",http://data.library.amnh.org/archives-authorities/id/amnhp_1002541
amnhp_1002542,Person,"Campenhout, Emile",http://data.library.amnh.org/archives-authorities/id/amnhp_1002542
amnhp_1002543,Person,"Siffer, Maurice",http://data.library.amnh.org/archives-authorities/id/amnhp_1002543
amnhp_1002544,Person,"Smets, Charles",http://data.library.amnh.org/archives-authorities/id/amnhp_1002544
amnhp_1002545,Person,The Sirdar,http://data.library.amnh.org/archives-authorities/id/amnhp_1002545
amnhc_2000087,Expedition,Petrunkevitch Expedition (1909),http://data.library.amnh.org/archives-authorities/id/amnhc_2000087
amnhc_2000088,Expedition,Woods Hole Expedition,http://data.library.amnh.org/archives-authorities/id/amnhc_2000088
amnhc_2000089,Expedition,Expedition to Vineyard Haven,http://data.library.amnh.org/archives-authorities/id/amnhc_2000089
amnhc_2000090,Expedition,Japanese Whaling Expedition (1910),http://data.library.amnh.org/archives-authorities/id/amnhc_2000090
amnhc_2000091,Expedition,Vertebrate Palaeontology Expedition,http://data.library.amnh.org/archives-authorities/id/amnhc_2000091
amnhc_2000092,Expedition,Richardson Colombian Expedition (1910-1911),http://data.library.amnh.org/archives-authorities/id/amnhc_2000092
amnhc_2000093,Expedition,Chapman Mexican Expedition,http://data.library.amnh.org/archives-authorities/id/amnhc_2000093
amnhc_2000094,Expedition,Cleveland H. Dodge Fund Expeditions,http://data.library.amnh.org/archives-authorities/id/amnhc_2000094
amnhc_2000095,Expedition,Canadian Indian Study Expedition,http://data.library.amnh.org/archives-authorities/id/amnhc_2000095
amnhc_2000096,Expedition,Chapman Colombian Expedition of the American Museum of Natural History (1911-1912),http://data.library.amnh.org/archives-authorities/id/amnhc_2000096
amnhc_2000097,Expedition,Ohio Expedition,http://data.library.amnh.org/archives-authorities/id/amnhc_2000097
amnhc_2000098,Expedition,"Vertebrate Palaeontology Expeditions to U.S., Mexico, Canada and Cuba",http://data.library.amnh.org/archives-authorities/id/amnhc_2000098
amnhc_2000099,Expedition,West Indies Expedition of the American Museum of Natural History (1911),http://data.library.amnh.org/archives-authorities/id/amnhc_2000099
amnhc_2000101,Expedition,Anthony Oregon Expedition (1912),http://data.library.amnh.org/archives-authorities/id/amnhc_2000101
amnhc_2000102,Expedition,Beutenmüller Expeditions to the Black Mountains (1895-1912),http://data.library.amnh.org/archives-authorities/id/amnhc_2000102
amnhc_2000103,Expedition,Columbian Expedition,http://data.library.amnh.org/archives-authorities/id/amnhc_2000103
amnhc_2000104,Expedition,Entomological Expedition (1911),http://data.library.amnh.org/archives-authorities/id/amnhc_2000104
amnhc_2000105,Expedition,African Expedition of the American Museum of Natural History (3rd : 1912-1913),http://data.library.amnh.org/archives-authorities/id/amnhc_2000105
amnhc_2000106,Expedition,Vertebrate Palaeontology Expedition,http://data.library.amnh.org/archives-authorities/id/amnhc_2000106
amnhc_2000107,Expedition,South Georgia Island Expedition of the American Museum of Natural History (1912-1913),http://data.library.amnh.org/archives-authorities/id/amnhc_2000107
amnhc_2000108,Expedition,Brewster-Sanford Expedition of the American Museum of Natural History (1912-1917),http://data.library.amnh.org/archives-authorities/id/amnhc_2000108
