id1,id2,type,role,date
amnhc_3000013,amnhc_4000051,identity,participantIn,1927
amnhc_3000013,amnhc_4000051,identity,participantIn,1977
amnhc_3000015,amnhp_1000519,identity,employedBy,1904
amnhc_3000015,amnhp_1001053,identity,employedBy,1909
amnhc_3000015,amnhp_1001518,identity,employedBy,1909
amnhc_3000015,amnhp_1001214,identity,employedBy,1919
amnhc_3000015,amnhp_1000871,identity,employedBy,1921
amnhc_3000015,amnhp_1000856,identity,employedBy,1925
amnhc_3000015,amnhp_1000256,identity,employedBy,1925
amnhc_3000015,amnhp_1001716,identity,employedBy,1946
amnhc_3000015,amnhp_1002183,identity,employedBy,1956
amnhc_3000015,amnhp_1001792,identity,employedBy,1961
amnhc_3000015,amnhp_1001941,identity,employedBy,1962
amnhc_3000015,amnhp_1000066,identity,employedBy,1964
amnhc_3000015,amnhp_1001508,identity,employedBy,1967
amnhc_3000015,amnhp_1000053,identity,employedBy,1982
amnhc_3000015,amnhp_1002005,identity,employedBy,1987
amnhc_3000015,amnhp_1002448,identity,employedBy,1996
amnhc_3000015,amnhp_1002449,identity,employedBy,2002
amnhc_3000015,amnhc_2000079,identity,participantIn,1909
amnhc_3000015,amnhc_2000083,identity,,1909
amnhc_3000015,amnhc_2000094,identity,participantIn,1910
amnhc_3000015,amnhc_2000097,identity,participantIn,1911
amnhc_3000015,amnhc_2000124,identity,participantIn,1914
amnhc_3000015,amnhc_2000121,identity,participantIn,1914
amnhc_3000015,amnhc_2000138,identity,,1917
amnhc_3000015,amnhc_2000167,identity,,1920
amnhc_3000015,amnhc_2000197,identity,participantIn,1925
amnhc_3000015,amnhc_2000216,identity,participantIn,1926
amnhc_3000015,amnhc_2000218,identity,,1926
amnhc_3000015,amnhc_2000212,identity,,1926
amnhc_3000015,amnhc_2000275,identity,participantIn,1930
amnhc_3000015,amnhc_2000320,identity,participantIn,1934
amnhc_3000015,amnhc_2000335,identity,,1935
amnhc_3000015,amnhc_2000348,identity,participantIn,1936
amnhc_3000015,amnhc_2000349,identity,,1936
amnhc_3000015,amnhc_2000371,identity,participantIn,1937
amnhc_3000015,amnhc_2000389,identity,participantIn,1938
amnhc_3000015,amnhc_2000398,identity,participantIn,1938
amnhc_3000015,amnhc_2000409,identity,,1939
amnhc_3000015,amnhc_2000414,identity,participantIn,1940
amnhc_3000015,amnhc_2000439,identity,participantIn,1946
amnhc_3000015,amnhc_2000555,identity,participantIn,1959
amnhc_3000015,amnhc_2000570,identity,participantIn,1961
amnhc_3000015,amnhc_2000583,identity,participantIn,1962
amnhc_3000015,amnhc_2000590,identity,participantIn,1963
amnhc_3000015,amnhc_2000613,identity,participantIn,1966
amnhc_3000015,amnhc_2000629,identity,participantIn,1970
amnhc_3000015,amnhc_2000632,identity,participantIn,1970
amnhc_3000015,amnhc_2000633,identity,participantIn,1970
amnhc_3000015,amnhc_2000637,identity,participantIn,1970
amnhc_3000015,amnhc_2000690,identity,participantIn,1984
amnhc_3000015,amnhc_2000697,identity,participantIn,1989
amnhc_3000015,amnhc_2000699,identity,participantIn,1990
amnhc_3000015,amnhc_3000013,identity,worksWith,1909
amnhc_3000015,amnhc_3000019,identity,participantIn,1946
amnhc_3000045,amnhp_1000705,identity,employedBy,1924
amnhc_3000045,amnhp_1000121,identity,employedBy,1935
amnhc_3000045,amnhp_1001290,identity,employedBy,1935
amnhc_3000045,amnhp_1000065,identity,employedBy,1945
amnhc_3000045,amnhc_5000470,,,1997-03-08
amnhc_3000045,amnhc_5000106,,,1948-04
amnhc_3000045,amnhp_1000160,identity,employedBy,1935
amnhc_3000045,amnhp_1000591,identity,employedBy,1935
amnhc_3000045,amnhp_1002450,identity,employedBy,1942
amnhc_3000045,amnhp_1000114,identity,employedBy,1947
amnhc_3000045,amnhp_1000369,identity,employedBy,1952
amnhc_3000045,amnhp_1001520,identity,employedBy,1953
amnhc_3000045,amnhp_1000729,identity,employedBy,1953
amnhc_3000045,amnhp_1000250,identity,employedBy,1956-??
amnhc_3000045,amnhp_1000739,identity,employedBy,1956-??
amnhc_3000045,amnhp_1001636,identity,employedBy,1956
amnhc_3000045,amnhp_1000976,identity,employedBy,1964
amnhc_3000045,amnhp_1000376,identity,employedBy,1970
amnhc_3000045,amnhp_1001878,identity,employedBy,1981
amnhc_3000045,amnhp_1000878,identity,employedBy,1982
amnhc_3000045,amnhp_1002128,identity,employedBy,1994
