id,url,title,dateIssued,pdfUrl,thumbUrl
6265,http://digitallibrary.amnh.org/handle/2246/6265?show=full,"Annual report, 1950.",1951,http://digitallibrary.amnh.org/bitstream/handle/2246/6265/R1950.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6265/R1950.pdf.jpg?sequence=4&isAllowed=y
6264,http://digitallibrary.amnh.org/handle/2246/6264?show=full,"Annual report, 1949.",1950,http://digitallibrary.amnh.org/bitstream/handle/2246/6264/R1949.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6264/R1949.pdf.jpg?sequence=4&isAllowed=y
6263,http://digitallibrary.amnh.org/handle/2246/6263?show=full,"Annual report, 1948.",1949,http://digitallibrary.amnh.org/bitstream/handle/2246/6263/R1948.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6263/R1948.pdf.jpg?sequence=4&isAllowed=y
6262,http://digitallibrary.amnh.org/handle/2246/6262?show=full,"Annual report, 1947.",1948,http://digitallibrary.amnh.org/bitstream/handle/2246/6262/R1947.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6262/R1947.pdf.jpg?sequence=4&isAllowed=y
6261,http://digitallibrary.amnh.org/handle/2246/6261?show=full,"Annual report, 1946.",1947,http://digitallibrary.amnh.org/bitstream/handle/2246/6261/R1946.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6261/R1946.pdf.jpg?sequence=4&isAllowed=y
6239,http://digitallibrary.amnh.org/handle/2246/6239?show=full,"Annual report, 1925.",1926-05-01,http://digitallibrary.amnh.org/bitstream/handle/2246/6239/R1925.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6239/R1925.pdf.jpg?sequence=4&isAllowed=y
6238,http://digitallibrary.amnh.org/handle/2246/6238?show=full,"Annual report, 1924.",1925-05-01,http://digitallibrary.amnh.org/bitstream/handle/2246/6238/R1924.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6238/R1924.pdf.jpg?sequence=4&isAllowed=y
6237,http://digitallibrary.amnh.org/handle/2246/6237?show=full,"Annual report, 1923.",1924-07-15,http://digitallibrary.amnh.org/bitstream/handle/2246/6237/R1923.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6237/R1923.pdf.jpg?sequence=4&isAllowed=y
6236,http://digitallibrary.amnh.org/handle/2246/6236?show=full,"Annual report, 1922.",1923-05-01,http://digitallibrary.amnh.org/bitstream/handle/2246/6236/R1922.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6236/R1922.pdf.jpg?sequence=4&isAllowed=y
6235,http://digitallibrary.amnh.org/handle/2246/6235?show=full,"Annual report, 1921.",1922,http://digitallibrary.amnh.org/bitstream/handle/2246/6235/R1921.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6235/R1921.pdf.jpg?sequence=4&isAllowed=y
6234,http://digitallibrary.amnh.org/handle/2246/6234?show=full,"Annual report, 1920.",1921-05-01,http://digitallibrary.amnh.org/bitstream/handle/2246/6234/R1920.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6234/R1920.pdf.jpg?sequence=4&isAllowed=y
6233,http://digitallibrary.amnh.org/handle/2246/6233?show=full,"Annual report, 1919.",1920-05-01,http://digitallibrary.amnh.org/bitstream/handle/2246/6233/R1919.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6233/R1919.pdf.jpg?sequence=4&isAllowed=y
6232,http://digitallibrary.amnh.org/handle/2246/6232?show=full,"Annual report, 1918.",1919-05-01,http://digitallibrary.amnh.org/bitstream/handle/2246/6232/R1918.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6232/R1918.pdf.jpg?sequence=4&isAllowed=y
6231,http://digitallibrary.amnh.org/handle/2246/6231?show=full,"Annual report, 1917.",1918-05-01,http://digitallibrary.amnh.org/bitstream/handle/2246/6231/R1917.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6231/R1917.pdf.jpg?sequence=4&isAllowed=y
